Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
16196,H. Balic,57,61,Midfielder,LM,21,Bosnia Herzegovina,Bosnia Herzegovina,SKN St. Pölten,140K,2K,63,53,52,61,28,57
16197,B. Bye,57,58,Attacker,ST,27,Norway,Norway,Sogndal,120K,1K,52,59,40,54,19,58
16198,Y. Ito,57,61,Midfielder,CM,24,Japan,Japan,Albirex Niigata,130K,1K,72,56,59,66,42,55
16199,K. Ahearne-Grant,57,74,Attacker,ST,19,England,England,Charlton Athletic,220K,1K,84,51,44,55,26,56
16200,N. Freeman,57,65,Midfielder,RM,21,England,England,Wycombe Wanderers,150K,2K,67,45,53,60,31,46
16201,M. O'Leary,57,68,Goalkeeper,GK,20,England,England,Bristol City,140K,3K,60,58,54,56,44,58
16202,L. Grace,57,65,Defender,CB,24,Republic of Ireland,Republic of Ireland,Shamrock Rovers,130K,1K,57,31,35,36,55,66
16203,M. Timlin,57,66,Midfielder,CM,22,Republic of Ireland,Republic of Ireland,Finn Harps,160K,1K,72,54,58,62,37,44
16204,N. Sakai,57,60,Defender,LB,24,Japan,Japan,Albirex Niigata,110K,1K,71,46,57,56,50,71
16205,T. Gran,57,78,Attacker,ST,18,Norway,Norway,Lillestrøm SK,240K,1K,72,55,41,50,18,54
16206,A. Timofeev,57,67,Goalkeeper,GK,21,Russia,Russia,FC Ural,130K,2K,56,54,53,62,29,54
16207,J. Meneses,57,57,Goalkeeper,GK,33,Colombia,Colombia,CD America de Cali,50K,1K,56,60,57,58,29,58
16208,M. Wilks,57,77,Attacker,ST,18,England,England,Accrington Stanley,220K,3K,76,56,44,60,19,54
16209,M. Chajia,57,68,Attacker,CF,19,Belgium,Belgium,Novara,170K,1K,68,52,53,64,20,49
16210,J. Ochoa,57,66,Defender,CB,20,Colombia,Colombia,Envigado FC,140K,1K,57,22,29,28,57,65
16211,N. Seufert,57,71,Midfielder,CAM,20,Germany,Germany,1. FC Kaiserslautern,230K,2K,67,46,53,63,27,44
16212,S. Aziz,57,60,Attacker,ST,25,Sweden,Sweden,GIF Sundsvall,130K,1K,79,54,48,66,21,57
16213,E. Zharikov,57,73,Goalkeeper,GK,19,Russia,Russia,FC Ural,180K,1K,59,53,59,60,45,53
16214,G. Mastinu,57,59,Attacker,RW,25,Italy,Italy,La Spezia,130K,1K,67,56,55,62,27,52
16215,N. Landgraf,57,65,Defender,LB,21,Germany,Germany,Hallescher FC,130K,1K,71,29,47,60,52,60
16216,A. Fletcher,57,72,Attacker,ST,18,England,England,Plymouth Argyle,220K,1K,74,56,44,56,20,55
16217,C. Burton,57,69,Goalkeeper,GK,20,England,England,Hull City,150K,1K,58,56,54,60,43,55
16218,C. Cooper,57,68,Midfielder,CM,20,England,England,Forest Green,180K,2K,69,47,54,59,46,62
16219,M. Najjar,57,68,Midfielder,CM,22,Saudi Arabia,Saudi Arabia,Al Qadisiyah,170K,2K,61,51,57,63,44,56
16220,O. Kolak,57,69,Defender,CB,20,Turkey,Turkey,Antalyaspor,160K,2K,57,30,31,40,57,62
16221,T. Mauricio,57,61,Attacker,RW,23,France,France,Valenciennes FC,140K,1K,72,61,46,58,25,38
16222,Kim Moo Gun,57,66,Attacker,LW,20,Korea Republic,Korea Republic,Jeju United FC,160K,1K,74,48,49,60,23,43
16223,H. Muñoz,57,65,Defender,RB,22,Mexico,Mexico,Club Tijuana,130K,2K,69,29,38,55,58,64
16224,R. Öktem,57,69,Midfielder,CM,20,Turkey,Turkey,Alanyaspor,180K,2K,59,43,58,62,55,58
16225,H. Traorè,57,79,Midfielder,CAM,17,Ivory Coast,Ivory Coast,Empoli,230K,1K,66,42,56,58,37,55
16226,G. Sava,57,57,Goalkeeper,GK,30,Romania,Romania,Dundalk,70K,1K,59,56,55,57,41,58
16227,V. Vujinovic,57,75,Attacker,ST,18,Germany,Germany,Karlsruher SC,220K,1K,70,58,38,55,19,51
16228,Y. Martelat,57,70,Midfielder,CM,20,France,France,Olympique Lyonnais,200K,6K,55,43,56,55,54,55
16229,Z. Westbrooke,57,71,Midfielder,CM,20,England,England,Brentford,230K,5K,63,48,57,59,36,54
16230,N. McGinley,57,71,Defender,LB,20,England,England,Middlesbrough,200K,2K,58,35,36,56,62,52
16231,D. Srnić,57,60,Midfielder,CDM,25,Serbia,Serbia,Śląsk Wrocław,110K,1K,63,41,54,51,53,49
16232,M. Köbbing,57,70,Goalkeeper,GK,20,Germany,Germany,1. FC Heidenheim,160K,1K,62,58,53,57,34,52
16233,R. Cardozo,57,58,Goalkeeper,GK,28,Paraguay,Paraguay,Águilas Doradas,80K,1K,55,57,58,57,20,60
16234,M. Delley,57,57,Midfielder,RM,28,Switzerland,Switzerland,FC Lausanne-Sports,100K,2K,63,47,53,60,28,45
16235,Yu In Soo,57,65,Midfielder,CAM,22,Korea Republic,Korea Republic,F.C. Tokyo,150K,2K,72,55,50,61,40,58
16236,J. Earl,57,69,Defender,LB,18,England,England,Preston North End,150K,1K,73,43,45,60,53,55
16237,R. Cole,57,72,Midfielder,CM,19,England,England,Newport County,220K,3K,62,57,58,62,43,57
16238,R. Bushiri,57,77,Defender,CB,17,Belgium,Belgium,KV Oostende,180K,1K,57,24,27,29,57,70
16239,A. Cavagnera,57,74,Midfielder,CDM,18,Belgium,Belgium,Standard de Liège,190K,1K,62,34,53,56,53,58
16240,Y. Mersin,57,65,Goalkeeper,GK,22,Turkey,Turkey,Crawley Town,110K,1K,57,52,56,59,39,58
16241,J. Torres,57,72,Midfielder,CDM,20,Colombia,Colombia,Atlético Bucaramanga,210K,1K,63,33,44,56,56,59
16242,N. D'Agostino,57,68,Attacker,ST,19,Australia,Australia,Brisbane Roar,170K,1K,78,52,45,57,22,56
16243,D. Casey,57,68,Defender,CB,19,Republic of Ireland,Republic of Ireland,Bohemian FC,150K,1K,56,34,33,39,58,62
16244,N. Depuy,57,63,Attacker,ST,22,United States,United States,Montreal Impact,140K,1K,38,55,41,47,43,72
16245,M. Nazarit,57,66,Defender,CB,19,Colombia,Colombia,CD Once Caldas Manizales,130K,1K,66,29,32,39,55,70
16246,E. Whitehouse,57,66,Midfielder,CM,23,England,England,Lincoln City,160K,2K,65,52,50,56,51,71
16247,M. Quiñones,57,62,Defender,LB,21,Colombia,Colombia,Deportivo Pasto,120K,1K,68,27,48,53,54,61
16248,V. Müller,57,70,Midfielder,CDM,18,Austria,Austria,SCR Altach,160K,1K,65,41,54,58,51,55
16249,G. Chará,57,67,Defender,CB,21,Colombia,Colombia,Asociacion Deportivo Cali,150K,1K,51,33,32,36,55,65
16250,J. Hayes,57,66,Midfielder,CM,22,United States,United States,FC Dallas,160K,1K,67,43,56,63,45,51
16251,O. Güçtekin,57,76,Midfielder,CDM,18,Turkey,Turkey,Fenerbahçe SK,190K,4K,54,44,56,57,56,45
16252,M. Kelly,57,66,Defender,LB,19,Scotland,Scotland,Bristol Rovers,130K,1K,76,36,52,56,50,62
16253,H. Arellano,57,69,Defender,CB,19,United States,United States,LA Galaxy,160K,1K,68,36,38,47,54,65
16254,N. Bürgy,57,69,Defender,CB,21,Switzerland,Switzerland,FC Thun,160K,2K,51,29,34,39,57,56
16255,S. Lomónaco,57,73,Attacker,ST,18,Argentina,Argentina,Arsenal de Sarandí,220K,1K,61,53,45,56,22,51
16256,B. Kasprzak,57,62,Midfielder,CM,24,Poland,Poland,Sandecja Nowy Sącz,140K,1K,69,43,56,60,53,52
16257,A. Peñaranda,57,63,Attacker,ST,23,Colombia,Colombia,Corporación Club Deportivo Tuluá,140K,1K,71,52,38,54,21,58
16258,A. Azbague,57,67,Midfielder,LM,22,Morocco,Morocco,Valenciennes FC,170K,1K,63,54,52,60,24,51
16259,Jong Il Gwan,57,62,Attacker,ST,24,Korea DPR,Korea DPR,FC Luzern,140K,2K,62,57,54,60,26,54
16260,U. Fredriksen,57,71,Defender,CB,18,Norway,Norway,Sogndal,190K,1K,60,27,39,42,55,65
16261,L. Fitzgerald,57,57,Defender,LB,28,Republic of Ireland,Republic of Ireland,Bohemian FC,80K,1K,49,47,58,56,55,63
16262,S. Takahashi,57,67,Defender,RB,21,Japan,Japan,Sanfrecce Hiroshima,140K,1K,73,34,48,58,52,56
16263,C. Miller,57,75,Defender,LB,19,Scotland,Scotland,Celtic,200K,3K,76,50,49,56,50,57
16264,A. Pucheta,57,64,Defender,CB,22,Argentina,Argentina,San Martín de San Juan,120K,1K,51,24,31,40,58,58
16265,L. Nash,57,65,Attacker,ST,21,England,England,Gillingham,160K,1K,76,58,39,51,17,56
16266,M. Salmon,57,57,Midfielder,CM,28,Republic of Ireland,Republic of Ireland,Bray Wanderers,100K,1K,45,54,55,56,52,62
16267,J. Adelson,57,68,Defender,RB,21,Australia,Australia,Newcastle Jets,160K,1K,75,34,43,53,50,67
16268,C. Brown,57,63,Goalkeeper,GK,25,United States,United States,Houston Dynamo,100K,1K,51,58,67,64,34,51
16269,A. Koita,57,74,Midfielder,RM,18,Belgium,Belgium,KAA Gent,210K,2K,74,51,48,64,23,48
16270,F. Britos,57,67,Midfielder,CM,21,Argentina,Argentina,Unión de Santa Fe,170K,2K,65,44,55,54,60,70
16271,D. Suga,57,74,Attacker,CF,18,Japan,Japan,Hokkaido Consadole Sapporo,220K,1K,64,54,58,60,29,39
16272,M. Lansing,57,66,Goalkeeper,GK,23,United States,United States,Aalborg BK,120K,1K,57,55,62,56,50,55
16273,F. Pardo,57,68,Defender,CB,20,Argentina,Argentina,Belgrano de Córdoba,160K,1K,63,32,33,35,58,60
16274,R. Holden,57,74,Midfielder,CAM,19,Northern Ireland,Northern Ireland,Bristol City,220K,3K,74,48,52,60,31,38
16275,A. Beestin,57,64,Midfielder,CAM,19,England,England,Doncaster Rovers,140K,1K,64,44,56,59,40,55
16276,P. Millien,57,57,Midfielder,RM,31,Haiti,Haiti,Finn Harps,90K,1K,78,52,49,61,17,47
16277,Z. Faour,57,74,Attacker,ST,19,Sweden,Sweden,IK Sirius,220K,1K,62,54,45,60,23,53
16278,D. Minz,57,68,Defender,CB,18,Germany,Germany,RB Leipzig,140K,4K,54,27,34,35,58,55
16279,I. Paro,57,67,Defender,CB,22,Burkina Faso,Burkina Faso,Chamois Niortais FC,150K,1K,66,24,43,31,57,62
16280,T. Iida,57,64,Defender,RB,22,Japan,Japan,Shimizu S-Pulse,120K,1K,73,32,49,60,48,56
16281,Ahn Joong Geun,57,62,Attacker,ST,23,Korea Republic,Korea Republic,Gangwon FC,140K,1K,59,57,42,58,17,60
16282,J. Brown,57,68,Midfielder,CAM,22,Jamaica,Jamaica,Cambridge United,180K,3K,76,48,51,59,38,62
16283,R. Renner,57,64,Midfielder,LM,23,Austria,Austria,SV Mattersburg,150K,3K,70,46,52,56,33,45
16284,A. Pearce,57,71,Goalkeeper,GK,20,Australia,Australia,Central Coast Mariners,190K,1K,57,56,55,56,38,58
16285,E. Amenyido,57,71,Attacker,ST,19,Germany,Germany,VVV-Venlo,220K,4K,77,51,45,60,29,68
16286,D. Wilson,57,68,Attacker,ST,20,England,England,Wolverhampton Wanderers,180K,6K,77,56,45,60,20,56
16287,A. Madiani,57,64,Midfielder,RM,21,France,France,US Quevilly-Rouen,150K,1K,66,58,49,59,26,54
16288,V. Grodås,57,62,Defender,LWB,25,Norway,Norway,Sogndal,110K,1K,64,52,48,47,55,60
16289,Kim Dong Gi,57,57,Attacker,ST,28,Korea Republic,Korea Republic,Pohang Steelers,110K,2K,44,56,34,57,26,72
16290,T. Vialla,57,67,Midfielder,CAM,21,France,France,AC Ajaccio,170K,1K,66,51,52,66,34,56
16291,J. Balanta,57,67,Attacker,ST,20,Colombia,Colombia,Asociacion Deportivo Cali,170K,1K,79,57,38,58,19,57
16292,Park Yi-Young,57,66,Midfielder,CDM,23,Korea Republic,Korea Republic,FC St. Pauli,140K,2K,64,32,51,60,56,60
16293,V. Zigrossi,57,72,Defender,CB,20,Italy,Italy,Virtus Entella,210K,1K,63,20,30,40,58,56
16294,A. Samizadeh,57,74,Attacker,ST,18,Iran,Iran,Kilmarnock,220K,1K,75,60,42,62,21,46
16295,M. Yandaş,57,64,Midfielder,CAM,22,Turkey,Turkey,Medicana Sivasspor,150K,2K,58,46,58,62,41,49
16296,L. Bezzat,57,68,Attacker,LW,20,Netherlands,Netherlands,VVV-Venlo,180K,2K,73,53,49,63,24,58
16297,L. Burke,57,77,Defender,RWB,19,England,England,Wigan Athletic,200K,1K,66,29,50,56,54,61
16298,A. Ba Masoud,57,70,Defender,LB,21,Saudi Arabia,Saudi Arabia,Al Fayha,180K,4K,77,45,50,55,52,53
16299,V. Bogaerts,57,70,Midfielder,CAM,19,Netherlands,Netherlands,VVV-Venlo,190K,1K,69,45,54,60,35,48
16300,T. Demol,57,72,Midfielder,CAM,19,Belgium,Belgium,Royal Excel Mouscron,220K,1K,63,48,52,59,35,52
16301,B. Taz,57,78,Midfielder,CAM,18,Germany,Germany,1. FC Union Berlin,230K,3K,61,49,50,66,30,40
16302,B. Dione,57,67,Attacker,ST,20,Belgium,Belgium,Royal Excel Mouscron,170K,2K,62,56,46,65,19,45
16303,G. Shaw,57,62,Attacker,ST,25,Republic of Ireland,Republic of Ireland,Shamrock Rovers,140K,1K,51,56,46,53,23,63
16304,R. Nzeza,57,73,Defender,CB,18,France,France,Royal Excel Mouscron,190K,1K,60,26,35,33,57,62
16305,N. Castrillón,57,69,Defender,RB,21,Colombia,Colombia,Corporación Club Deportivo Tuluá,160K,1K,58,29,39,50,56,65
16306,T. Ivanof,57,71,Midfielder,CAM,19,Belgium,Belgium,KV Kortrijk,220K,1K,69,45,56,64,33,43
16307,A. Maksimenko,57,68,Midfielder,RM,21,Russia,Russia,FC SKA-Energiya Khabarovsk,180K,3K,77,50,52,62,33,42
16308,J. Skomsøy Bjerkås,57,63,Defender,RB,24,Norway,Norway,Kristiansund BK,120K,1K,54,32,44,52,58,71
16309,C. González,57,67,Defender,RB,19,Mexico,Mexico,Club Atlas,140K,2K,73,31,39,56,54,54
16310,J. Pirttijoki,57,66,Defender,CB,20,Finland,Finland,GIF Sundsvall,140K,1K,53,21,31,27,54,74
16311,A. Gogić,57,65,Defender,CB,23,Cyprus,Cyprus,Hamilton Academical FC,130K,1K,50,46,51,57,51,71
16312,L. Matarrese,57,69,Defender,CB,20,Belgium,Belgium,Sint-Truidense VV,160K,1K,59,25,37,37,58,59
16313,C. Mafoumbi,57,63,Goalkeeper,GK,23,France,France,Blackpool,100K,1K,61,51,57,62,44,50
16314,B. Fox,57,73,Midfielder,CM,19,England,England,Burton Albion,220K,1K,62,48,53,58,48,58
16315,A. Kovačević,57,63,Defender,CB,23,Bosnia Herzegovina,Bosnia Herzegovina,Korona Kielce,120K,1K,56,30,29,30,59,61
16316,T. Chakwana,57,70,Midfielder,RM,18,England,England,Burnley,190K,4K,78,50,52,60,29,44
16317,Y. Ivakin,57,72,Midfielder,RM,18,Russia,Russia,Arsenal Tula,210K,2K,64,59,54,61,32,42
16318,P. Borisov,57,70,Defender,LB,19,Russia,Russia,Arsenal Tula,170K,2K,62,34,38,52,62,55
16319,S. Pedersen,57,68,Attacker,ST,18,Norway,Norway,Stabæk Fotball,170K,1K,68,57,39,55,19,48
16320,I. Al Shehri,57,67,Midfielder,LM,21,Saudi Arabia,Saudi Arabia,Al Ittihad,170K,4K,72,44,50,59,46,57
16321,O. Jackson,57,72,Defender,CB,18,England,England,Milton Keynes Dons,190K,1K,61,24,33,44,57,60
16322,A. Hoven,57,70,Attacker,ST,19,Norway,Norway,Strømsgodset IF,200K,1K,82,54,40,50,22,59
16323,D. Buranov,57,66,Midfielder,CDM,21,Russia,Russia,Arsenal Tula,140K,3K,59,53,54,59,56,52
16324,J. Crowe,57,71,Defender,CB,19,Republic of Ireland,Republic of Ireland,Limerick FC,200K,2K,53,29,40,34,55,63
16325,S. Akinola,57,62,Midfielder,CAM,24,Nigeria,Nigeria,Barnet,140K,2K,85,50,50,60,27,49
16326,C. Hendry,57,74,Attacker,ST,19,Scotland,Scotland,St. Johnstone FC,220K,1K,76,57,41,54,19,50
16327,E. Andersson,57,68,Midfielder,CM,20,Sweden,Sweden,Malmö FF,180K,1K,64,48,57,61,48,68
16328,Jung Seung Yong,57,58,Defender,LB,26,Korea Republic,Korea Republic,Gangwon FC,100K,1K,69,36,49,55,56,67
16329,T. Conlon,57,67,Midfielder,LM,21,England,England,Stevenage,170K,2K,65,49,57,60,50,51
16330,N. Mingiedi,57,69,Defender,CB,19,Belgium,Belgium,Sporting Lokeren,160K,1K,64,46,55,60,56,53
16331,A. Borkovic,57,72,Defender,CB,18,Austria,Austria,FK Austria Wien,190K,2K,54,31,40,40,56,61
16332,V. Karakuş,57,74,Goalkeeper,GK,19,Turkey,Turkey,Kayserispor,180K,1K,62,58,49,64,28,48
16333,M. Pais,57,62,Goalkeeper,GK,26,United States,United States,Toronto FC,100K,1K,55,55,59,58,36,59
16334,N. Al Shenashini,57,68,Midfielder,RM,21,Saudi Arabia,Saudi Arabia,Al Nassr,180K,4K,73,48,52,58,43,48
16335,D. Barlaser,57,71,Midfielder,CM,20,Turkey,Turkey,Newcastle United,230K,6K,56,56,59,68,34,41
16336,S. Shome,57,69,Midfielder,CM,19,Canada,Canada,Montreal Impact,180K,1K,62,52,57,62,37,59
16337,A. Andreasson,57,63,Midfielder,CM,23,Sweden,Sweden,Jönköpings Södra IF,140K,1K,70,45,58,56,47,56
16338,K. Al Muwallad,57,59,Midfielder,RM,22,Saudi Arabia,Saudi Arabia,Ohod Club,130K,3K,78,35,52,55,38,59
16339,R. Etheridge,57,66,Goalkeeper,GK,22,England,England,Doncaster Rovers,120K,1K,59,55,57,58,47,54
16340,N. Besler,57,64,Midfielder,CM,24,United States,United States,Real Salt Lake,140K,1K,67,41,54,57,50,64
16341,M. Al Haidari,57,67,Goalkeeper,GK,21,Saudi Arabia,Saudi Arabia,Al Hilal,130K,3K,55,58,55,55,31,58
16342,T. Fukumitsu,57,57,Midfielder,CM,25,Japan,Japan,Cerezo Osaka,110K,1K,58,34,56,57,44,50
16343,C. Calderón,57,70,Defender,LB,20,Mexico,Mexico,Club Atlas,180K,2K,64,34,47,58,56,50
16344,T. Kishimoto,57,71,Attacker,ST,19,Japan,Japan,Cerezo Osaka,220K,1K,68,55,37,51,19,74
16345,K. Rüegg,57,74,Midfielder,CDM,18,Switzerland,Switzerland,FC Zürich,190K,1K,69,37,49,60,47,59
16346,E. Öztürk,57,66,Midfielder,CM,21,Germany,Germany,Kayserispor,160K,2K,62,51,58,67,42,40
16347,M. Nilsson,57,65,Goalkeeper,GK,23,Sweden,Sweden,Halmstads BK,110K,1K,57,54,58,62,29,56
16348,J. Thorniley,57,68,Defender,CB,20,England,England,Accrington Stanley,160K,5K,57,31,36,40,61,51
16349,R. Jendrusch,57,67,Goalkeeper,GK,21,Germany,Germany,FC Erzgebirge Aue,130K,1K,62,54,54,62,34,50
16350,Dudu,57,66,Attacker,ST,21,Brazil,Brazil,Kashiwa Reysol,160K,2K,75,54,50,64,21,55
16351,M. Jackson,57,58,Attacker,ST,26,England,England,Newport County,120K,2K,83,51,49,57,26,67
16352,D. Cogill,57,69,Defender,CB,19,England,England,Huddersfield Town,160K,3K,56,34,34,39,57,61
16353,N. Herranz,57,65,Defender,CB,23,Argentina,Argentina,Bahía Blanca,130K,1K,58,28,34,41,57,57
16354,K. Wootton,57,64,Attacker,ST,20,England,England,Stevenage,150K,2K,61,54,37,51,24,62
16355,D. López,57,69,Attacker,ST,17,Mexico,Mexico,Club Tijuana,170K,2K,52,58,46,54,21,40
16356,D. Margush,57,71,Goalkeeper,GK,19,Australia,Australia,Adelaide United,180K,1K,55,57,52,58,27,57
16357,S. Haugen,57,70,Attacker,ST,19,Norway,Norway,Odds BK,200K,1K,72,55,39,57,23,52
16358,C. Yıldız,57,66,Midfielder,CDM,22,Germany,Germany,İstanbul Başakşehir FK,140K,3K,62,44,57,59,52,63
16359,A. Yarmolitskiy,57,66,Defender,LB,23,Russia,Russia,Arsenal Tula,140K,3K,68,33,40,57,57,55
16360,T. Akahoshi,57,57,Goalkeeper,GK,33,Japan,Japan,Sagan Tosu,50K,1K,54,53,55,62,25,61
16361,N. Trott,57,75,Goalkeeper,GK,18,England,England,West Ham United,170K,3K,57,58,61,60,36,54
16362,R. Lowry,57,64,Defender,CB,23,Australia,Australia,Wellington Phoenix,120K,1K,60,28,42,50,54,66
16363,T. Muramatsu,57,57,Midfielder,CDM,27,Japan,Japan,Shimizu S-Pulse,90K,1K,64,35,49,48,57,67
16364,S. Smith,57,73,Attacker,ST,19,England,England,Reading,220K,3K,56,60,47,52,22,53
16365,B. Ashley-Seal,57,65,Attacker,ST,18,England,England,Norwich City,140K,3K,78,56,34,59,21,50
16366,E. Monthe,57,63,Defender,CB,22,Cameroon,Cameroon,Forest Green,120K,2K,67,30,29,30,56,68
16367,B. Vliet,57,70,Defender,LB,19,Netherlands,Netherlands,NAC Breda,170K,1K,66,33,40,58,55,52
16368,T. Clarke,57,74,Midfielder,LM,19,Republic of Ireland,Republic of Ireland,Shamrock Rovers,220K,1K,75,50,49,60,40,50
16369,R. Menayese,57,65,Defender,CB,19,Wales,Wales,Bristol Rovers,130K,1K,60,29,36,36,53,72
16370,T. Sufyani,57,60,Attacker,ST,25,Saudi Arabia,Saudi Arabia,Ettifaq FC,130K,3K,78,56,40,59,17,56
16371,S. Mavididi,57,70,Attacker,ST,19,England,England,Preston North End,200K,8K,90,51,40,57,19,64
16372,M. Djenepo,57,71,Midfielder,CAM,19,Mali,Mali,Standard de Liège,220K,1K,72,52,50,65,28,47
16373,H. Smith,57,67,Attacker,ST,22,England,England,Swindon Town,170K,5K,56,56,35,57,19,66
16374,L. Plogmann,57,81,Goalkeeper,GK,17,Germany,Germany,Werder Bremen II,190K,1K,58,56,54,63,40,46
16375,R. Kaib,57,69,Defender,LB,20,Sweden,Sweden,IF Elfsborg,160K,1K,70,37,54,59,51,51
16376,S. Adrian,57,69,Midfielder,CM,19,Sweden,Sweden,Malmö FF,180K,1K,56,39,62,55,47,65
16377,N. Awassi,57,71,Defender,CB,19,Germany,Germany,SG Dynamo Dresden,200K,1K,64,30,40,39,55,60
16378,C. Omeje,57,58,Attacker,ST,27,Nigeria,Nigeria,AFC Eskilstuna,120K,1K,60,55,34,60,18,63
16379,G. Mancuso,57,69,Midfielder,CM,19,Argentina,Argentina,Vélez Sarsfield,180K,1K,69,52,56,61,50,57
16380,I. Dresevic,57,68,Defender,CB,20,Sweden,Sweden,IF Elfsborg,160K,1K,54,22,47,55,53,64
16381,D. Mitov,56,65,Goalkeeper,GK,20,Bulgaria,Bulgaria,Cambridge United,110K,2K,63,54,53,55,60,51
16382,M. Pałaszewski,56,67,Midfielder,CM,19,Poland,Poland,Śląsk Wrocław,150K,1K,65,42,53,59,45,54
16383,J. Maddison,56,66,Goalkeeper,GK,22,England,England,Yeovil Town,110K,1K,62,46,54,65,44,48
16384,A. Edun,56,70,Midfielder,LM,19,England,England,Fulham,190K,3K,73,34,47,63,42,50
16385,L. Nilsen,56,66,Defender,LB,22,Norway,Norway,Tromsø IL,130K,1K,78,42,45,57,49,44
16386,R. Broom,56,63,Midfielder,RM,20,Wales,Wales,Bristol Rovers,130K,1K,80,49,50,59,28,50
16387,L. de la Torre,56,73,Midfielder,CAM,19,United States,United States,Fulham,190K,3K,66,42,53,60,28,40
16388,W. Tomlinson,56,71,Midfielder,CM,19,England,England,Blackburn Rovers,190K,1K,65,45,53,52,43,51
16389,W. Percevaux,56,67,Goalkeeper,GK,18,France,France,US Orléans Loiret Football,110K,1K,59,58,56,59,32,55
16390,K. Duncan,56,68,Defender,RB,19,United States,United States,Valenciennes FC,140K,1K,66,30,46,57,53,54
16391,D. Kelly-Evans,56,71,Midfielder,LM,20,England,England,Coventry City,200K,2K,84,45,52,57,35,61
16392,J. Pourtau,56,75,Goalkeeper,GK,17,Argentina,Argentina,Estudiantes de La Plata,150K,1K,56,58,55,62,17,53
16393,B. Brusselers,56,71,Midfielder,CAM,18,Netherlands,Netherlands,NAC Breda,190K,1K,74,45,51,61,33,42
16394,F. Scarsella,56,56,Midfielder,CM,27,Italy,Italy,Cremonese,90K,1K,67,55,55,54,44,56
16395,J. Lumley,56,65,Goalkeeper,GK,22,England,England,Queens Park Rangers,110K,3K,56,59,56,56,45,50
16396,M. Berisha,56,73,Attacker,CF,19,Kosovo,Kosovo,LASK Linz,200K,3K,67,58,52,55,18,59
16397,M. Schillings,56,70,Defender,CB,19,Belgium,Belgium,KAS Eupen,180K,1K,58,27,39,41,56,57
16398,K. Okanishi,56,60,Goalkeeper,GK,26,Japan,Japan,Ventforet Kofu,80K,1K,59,55,53,54,29,55
16399,M. Nicolas,56,74,Goalkeeper,GK,19,Germany,Germany,Borussia Mönchengladbach,160K,1K,61,57,54,53,22,49
16400,A. Diakhate,56,76,Midfielder,CM,18,Senegal,Senegal,Fiorentina,180K,4K,64,46,54,52,53,63
16401,C. Fernandez,56,68,Midfielder,CM,20,United States,United States,Chicago Fire Soccer Club,160K,1K,65,49,52,61,39,60
16402,Jo Yong Jae,56,68,Attacker,RW,19,Korea Republic,Korea Republic,Daegu FC,160K,1K,71,44,46,59,24,52
16403,Y. Frick,56,70,Attacker,ST,19,Liechtenstein,Liechtenstein,Perugia,200K,1K,58,56,38,50,24,66
16404,J. Montaño,56,62,Defender,RB,24,Colombia,Colombia,Atletico Nacional Medellin,100K,1K,73,52,50,59,49,55
16405,C. McGuigan,56,59,Defender,CB,27,Republic of Ireland,Republic of Ireland,Drogheda United,90K,1K,49,42,43,46,55,62
16406,D. Sauerland,56,68,Midfielder,CM,20,Germany,Germany,Borussia Dortmund,160K,5K,53,56,55,66,38,41
16407,A. Al Amoudi,56,56,Attacker,ST,30,Saudi Arabia,Saudi Arabia,Ohod Club,90K,3K,79,55,40,61,20,49
16408,A. Dossena,56,71,Defender,CB,18,Italy,Italy,Perugia,170K,1K,49,32,36,39,56,57
16409,D. Jończy,56,69,Defender,CB,20,Poland,Poland,Zagłębie Lubin,160K,1K,59,26,29,30,55,71
16410,T. Owen-Evans,56,71,Midfielder,CM,20,Wales,Wales,Newport County,200K,1K,72,47,52,60,43,58
16411,S. Ingelsson,56,72,Midfielder,RM,19,Sweden,Sweden,Udinese,190K,2K,67,47,54,57,25,49
16412,M. Pejić,56,61,Defender,LB,22,Croatia,Croatia,FK Austria Wien,100K,3K,64,28,37,46,60,57
16413,J. Soladio,56,68,Attacker,ST,19,Belgium,Belgium,KV Mechelen,160K,2K,64,56,49,52,19,48
16414,C. Carletti,56,64,Attacker,ST,20,Italy,Italy,Carpi,140K,1K,48,56,40,50,19,57
16415,M. Layer,56,71,Goalkeeper,GK,18,Germany,Germany,VfR Aalen,150K,1K,59,59,55,52,22,52
16416,L. Marseiler,56,66,Midfielder,LM,20,Germany,Germany,SpVgg Unterhaching,150K,1K,69,40,50,61,30,51
16417,L. Maloney,56,79,Midfielder,CDM,17,Germany,Germany,1. FC Union Berlin,180K,2K,64,44,55,59,51,49
16418,R. Åstedt,56,61,Defender,CB,21,Sweden,Sweden,AFC Eskilstuna,100K,1K,63,25,29,44,55,62
16419,Y. Kato,56,72,Goalkeeper,GK,19,Japan,Japan,Omiya Ardija,160K,1K,54,58,53,59,26,58
16420,A. Kalabane,56,63,Midfielder,CM,21,Guinea,Guinea,AFC Eskilstuna,130K,1K,62,40,52,56,46,75
16421,W. De Havilland,56,63,Defender,CB,22,England,England,Wycombe Wanderers,110K,2K,64,35,45,47,55,61
16422,V. Kusej,56,79,Attacker,ST,17,Czech Republic,Czech Republic,SG Dynamo Dresden,200K,2K,72,55,48,62,19,40
